impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K24-173432,A719017,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719017,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Lyra,Barn Cat,1 YEAR,Spayed Female,Domestic Shorthair,Seal Pt,28-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719017,Image Copyright HLP Inc. 2024,"Received on: 2024-10-28<p/> Description: Seal Pt<p/>  Spayed Female Domestic Shorthair Barn Cat<p/> Age: 1 YEAR<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K24-172302,A717068,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2851316,LOST,Bashful,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,White,25-Sep-24,Date Lost,SE  35th St & West Lake Sammamish Pkwy SE,Bellevue,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2851316,Image Copyright HLP Inc. 2024,"Description: Primarily white with grey patches. Has slanted eyes. Has a grey patch on his back right leg <p/>Age: Over 1 year<p/>Location Lost: SE 35th Street and Lake Sammamish , Bellevue WA  98008<p/>Lost Date: 2024-09-25<p/>",
K24-171821,A716096,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A716096,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Nelly,Barn Cat,4 MONTHS,Neutered Male,Domestic Mediumhair,Gray / White,12-Sep-24,Received on,,,,,,,,https://kingcounty.gov/~/media/depts/regional-animal-services/images/All-Images/adoption-pending.jpg,Image Copyright HLP Inc. 2024,"Received on: 2024-09-12<p/> Description: Gray / White<p/>  Neutered Male Domestic Mediumhair Barn Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $0<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Nelly and I am a ""Working Cat"". I am seeking a home where I can put my hunting skills to work! <p/><p/>I was brought into the shelter on 9/12/24 by a good samaritan.<p/><p/>I am a cat that has had some interactions with humans and I'm likely interested in being pet and handled, but only on my terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break. Being an indoor only cat is not enough stimulation for me and I would like to hunt rodents in order to stay enriched and active.<p/><p/>If you have never had working cats before, please reach out to barncatsrus@gmail.com to get all of the resources you will need to set up before you bring me home.<p/>",
K24-172528,A717490,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854121,LOST,Omega,Cat,Unknown<p/>,Female,American Shorthair,White,1-Oct-24,Date Lost,32700 block of  6TH AVE SW,Federal Way,,98023,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854121,Image Copyright HLP Inc. 2024,"Description: She’s white with brown patch’s and a freckle on her pink nose. She is also deaf<p/>Age: Unknown<p/>Location Lost: 32719 6th Ave SW, Federal Way WA  98023<p/>Lost Date: 2024-10-01<p/>",
K24-172837,A717977,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Bunnicula,Rabbit Sh,1 YEAR,Neutered Male,Rabbit Sh,Cream,13-Oct-24,Received on,21615 64TH AVE S,KENT,WA,98032,COVINGTON,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A717977,Image Copyright HLP Inc. 2024,"Received on: 2024-10-13<p/> Description: Cream Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Bunnicula and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by a good Samaritan on 10/13/24. <p/><p/>I came in alone but could potentially be bonded to a new rabbit friend with proper introductions. If you are considering adding a second bunny to your family, familiarize yourself with the rabbit bonding process and don't hesitate to reach out if you would like us to host a speed date to find the best match.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>My personality color is GREEN. I am adaptable and love to go with the flow! <p/><p/><p/>",
K24-172638,A717641,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2855344,LOST,Xiaohei(eng:,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,27-Sep-24,Date Lost,15200 block of  SE 20TH ST,Bellevue,,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2855344,Image Copyright HLP Inc. 2024,"Description: black round pattern under the chin<p/>Age: Over 1 year<p/>Location Lost: 15214 SE 20th St, Bellevue WA  98007<p/>Lost Date: 2024-09-27<p/>",
K24-173262,A718719,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2863204,In Public Home,,Dog,Unknown<p/>,Unknown,Labrador Retriever,Black,23-Oct-24,Date Found,60th  Ave SW & SW Hinds St,Seattle,,98116,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2863204,Image Copyright HLP Inc. 2024,"Description: Older black lab mix. Scar on back hind. Light blue collar. <p/>Age: Unknown<p/>Found Near: 60th ave SW and hinds street , Seattle WA  98116<p/>Found Date: 2024-10-23<p/>",
K24-173003,A718270,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A718270,Off Site Vet,,Cat,9 YEARS,Spayed Female,Domestic Mediumhair,Gray Tabby,18-Oct-24,Received on,30400 block of  148TH AVE SE,,,,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718270,Image Copyright HLP Inc. 2024,Received on: 2024-10-18<p/> Found Near: 30400 block of  148TH AVE SE<p/> Description: Gray Tabby Spayed Female Domestic Mediumhair Cat<p/> Age: 9 YEARS<p/> Current Location: Off Site Vet<p/>,
K24-172977,A401481,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Cat,13 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Black,17-Oct-24,Received on,5700 block of  S 152ND ST,,,,TUKWILA,,,,Image Copyright HLP Inc. 2024,Received on: 2024-10-17<p/> Found Near: 5700 block of  S 152ND ST<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 13 YEARS 1 MONTH<p/>,
K24-173624,A719406,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867467,LOST,Socks,Dog,Over 1 year<p/>,Male,Shih Tzu,White,1-Nov-24,Date Lost,600 block of  SHATTUCK AVE S,Renton,,98057,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867467,Image Copyright HLP Inc. 2024,"Description: black and white shih tzu very freindly will approach anybody, bites often but playfully.<p/>Age: Over 1 year<p/>Location Lost: 621 shattuck ave s. Apt #7, Renton WA  98057<p/>Lost Date: 2024-11-01<p/>",
K24-173531,A719269,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719269,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marypuppins,Dog,7 MONTHS,Spayed Female,Labrador Retriever / Whippet,Yellow,31-Oct-24,Received on,24300 block of  234TH WAY SE,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719269,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 24300 block of  234TH WAY SE<p/> Description: Yellow Spayed Female Labrador Retriever / Whippet Dog<p/> Age: 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173705,A719563,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2868507,LOST,Iris William,Dog,Over 1 year<p/>,Female,Rottweiler,Unknown,4-Nov-24,Date Lost,164TH  AVE SE + SE 263RD PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2868507,Image Copyright HLP Inc. 2024,"<p/>Age: Over 1 year<p/>Location Lost: 164th Ave SE + SE 263rd Pl, Kent WA  98042<p/>Lost Date: 2024-11-04<p/>",
K24-173143,A718504,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862409,LOST,Lena,Cat,Unknown<p/>,Female,Domestic Longhair,Unknown,20-Oct-24,Date Lost,251ST  ST.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862409,Image Copyright HLP Inc. 2024,"Description: Long hair calico <p/>Age: Unknown<p/>Location Lost: 251st st. , Kent WA  98042<p/>Lost Date: 2024-10-20<p/>",
K24-173288,A718773,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2863524,In Public Home,,Dog,Unknown<p/>,Male,Irish Terrier,Unknown,23-Oct-24,Date Found,CARLSON  ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2863524,Image Copyright HLP Inc. 2024,"<p/>Age: Unknown<p/>Found Near: Carlson Road, Vancouver WA  98661<p/>Found Date: 2024-10-23<p/>",
K24-172744,A717838,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856664,In Public Home,Aaron Harris,Dog,Over 1 year<p/>,Male,Staffordshire Bull Terrier,Unknown,9-Oct-24,Date Found,700 block of  ORCAS AVE NE,Renton,,98059,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856664,Image Copyright HLP Inc. 2024,"Description: Blonde color, muscular/bulky build. Very well mannered, non-aggresive even when playing. Looks to be 5+ years old, paws are trimmed/buffed except dew claw on right paw. <p/>Age: Over 1 year<p/>Found Near: 700 block of  ORCAS AVE NE<p/>Found Date: 2024-10-09<p/>",
K24-173411,A718990,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Owl,Cat,7 WEEKS,Female,Domestic Longhair,Black,28-Oct-24,Received on,27500 block of  COVINGTON WAY SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718990,Image Copyright HLP Inc. 2024,Received on: 2024-10-28<p/> Found Near: 27500 block of  COVINGTON WAY SE<p/> Description: Black Female Domestic Longhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K24-173070,A718354,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2861560,In Public Home,,Bird,Unknown<p/>,Unknown,,Unknown,17-Oct-24,Date Found,17TH  & MORRIS,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2861560,Image Copyright HLP Inc. 2024,"Description: Two ducks showed up in our yard and have not left. They appear to be domestic, based on their colorings/inability to fly/lack of fear of people. One is all black with iridescent green feathers and one resembles a rouen duck hen. While they are very friendly and calm around people we have not been able to pick them up and thoroughly examine them for any bands or other markings, but there is nothing immediately visible. <p/>Age: Unknown<p/>Found Near: 17th & Morris, Renton WA  98055<p/>Found Date: 2024-10-17<p/>",
K24-173639,A719431,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719431,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Skunk,Cat,7 WEEKS,Male,Domestic Shorthair,Black,3-Nov-24,Received on,32700 block of  RAILROAD AVE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,47.308578,-122.00652,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719431,Image Copyright HLP Inc. 2024,"Received on: 2024-11-03<p/> Found Near: 32700 block of  RAILROAD AVE<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173053,A718332,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2861514,LOST,Suvarana (ak,Dog,Over 1 year<p/>,Female,Havanese,Brown,18-Oct-24,Date Lost,CARLETON  AVE S & S WILLOW ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2861514,Image Copyright HLP Inc. 2024,"Description: She is a small havanese Yorki, 6 years old. No collar. Shy with men, very clingy with women.<p/>Age: Over 1 year<p/>Location Lost: Carleton Ave S & S Willow St, Seattle WA  98108<p/>Lost Date: 2024-10-18<p/>",
K24-173136,A718499,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862389,LOST,Davy,Cat,Under 1 year<p/>,Male,Siamese,White,3-Oct-24,Date Lost,304TH  STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862389,Image Copyright HLP Inc. 2024,"Description: He is about 3-months, White, Male. With Dark Brown Chick, and brown Tail, Brown Ears..  His body is white,.  Thank you, for your help, and will consider a reward.  If you like this breed, it can be arranged.  Thank you Please Call Michael McMullin.<p/>Age: Under 1 year<p/>Location Lost: 304th Street, Auburn WA  98002<p/>Lost Date: 2024-10-03<p/>",
K24-172487,A717432,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2853729,In Public Home,,Cat,Under 1 year<p/>,Male,Domestic Longhair,Unknown,2-Oct-24,Date Found,SHOREWOOD  DR SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2853729,Image Copyright HLP Inc. 2024,"<p/>Age: Under 1 year<p/>Found Near: Shorewood Dr SW, Seattle WA  98146<p/>Found Date: 2024-10-02<p/>",
K24-173707,A719565,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719565,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Male,Domestic Shorthair,Gray / White,5-Nov-24,Received on,17400 block of  NE 88TH PL,REDMOND,WA,98052,REDMOND,47.681667,-122.106058,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719565,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Found Near: 17400 block of  NE 88TH PL<p/> Description: Gray / White Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K24-173404,A718956,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2864848,LOST,Finley,Dog,Over 1 year<p/>,Male,Border Collie,Unknown,27-Oct-24,Date Lost,"21600 block of  SE 298TH PLACE, KENT",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2864848,Image Copyright HLP Inc. 2024,"Description: Black and white border collie with orange collar. Name is Finley.<p/>Age: Over 1 year<p/>Location Lost: 21612 SE 298th place, Kent , Kent WA  98042<p/>Lost Date: 2024-10-27<p/>",
K24-173084,A718369,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2861794,LOST,Shadow,Cat,Over 1 year<p/>,Male,Exotic Shorthair,Black,13-Oct-24,Date Lost,SE  248th St & 214th Ave SE,King County,,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2861794,Image Copyright HLP Inc. 2024,"Description: Shadow is an indoor cat only who scapes by an open window last Sunday night. He is a 2 year old ESH Persia. He is black, his coat is velvety. He is shy but at home he is curious, lively. He is very sweet and purrs easily. He has never gotten out of the house before. He gets along well with other cats but not with big dogs.<p/>Age: Over 1 year<p/>Location Lost: 248th Street and 214th AVE SE. , Maple Valley WA  98038<p/>Lost Date: 2024-10-13<p/>",
K24-172891,A718112,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2858961,In Public Home,,Cat,Unknown<p/>,Unknown,Abyssinian,Unknown,14-Oct-24,Date Found,100 block of  WAY ISSAQUAH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2858961,Image Copyright HLP Inc. 2024,<p/>Age: Unknown<p/>Found Near: 100 block of  WAY ISSAQUAH<p/>Notes: Found Date: 2024-10-14<p/>Found Date: 2024-10-14<p/>,
